cdm_name,omop_table,in_observation,variable_name,variable_level,time_interval,count,percentage,median,interval,name_observation_period,study_period_end,study_period_start,type
Barts Health,condition_era,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,526885,3.46,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,overall,Number of records,NA,2013-01-01 to 2013-12-31,1911692,4.88,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,FALSE,Number of records,NA,2013-01-01 to 2013-12-31,3666,0.01,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,1908026,4.87,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,overall,Number of records,NA,2013-01-01 to 2013-12-31,953637,3.23,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,FALSE,Number of records,NA,2013-01-01 to 2013-12-31,1053,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,952584,3.22,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,overall,Number of records,NA,2013-01-01 to 2013-12-31,492645,5.24,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,FALSE,Number of records,NA,2013-01-01 to 2013-12-31,9429,0.1,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,483216,5.14,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,overall,Number of records,NA,2013-01-01 to 2013-12-31,4082,0.22,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,4082,0.22,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,overall,Number of records,NA,2013-01-01 to 2013-12-31,12544273,1.51,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,FALSE,Number of records,NA,2013-01-01 to 2013-12-31,12968,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,12531305,1.51,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,overall,Number of records,NA,2013-01-01 to 2013-12-31,1004466,1.63,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,FALSE,Number of records,NA,2013-01-01 to 2013-12-31,303689,0.49,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,700777,1.14,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,overall,Number of records,NA,2013-01-01 to 2013-12-31,8296,5.86,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,FALSE,Number of records,NA,2013-01-01 to 2013-12-31,111,0.08,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,8185,5.79,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,overall,Number of records,NA,2013-01-01 to 2013-12-31,638820,4.2,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,FALSE,Number of records,NA,2013-01-01 to 2013-12-31,476,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,TRUE,Number of records,NA,2013-01-01 to 2013-12-31,638344,4.19,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,overall,Number of records,NA,2014-01-01 to 2014-12-31,2098747,5.36,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,FALSE,Number of records,NA,2014-01-01 to 2014-12-31,4870,0.01,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,2093877,5.35,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,overall,Number of records,NA,2014-01-01 to 2014-12-31,1090288,3.69,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,FALSE,Number of records,NA,2014-01-01 to 2014-12-31,1830,0.01,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_occurrence,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,1088458,3.68,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,overall,Number of records,NA,2014-01-01 to 2014-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_exposure,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,overall,Number of records,NA,2014-01-01 to 2014-12-31,506335,5.38,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,FALSE,Number of records,NA,2014-01-01 to 2014-12-31,8593,0.09,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,procedure_occurrence,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,497742,5.29,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,overall,Number of records,NA,2014-01-01 to 2014-12-31,5218,0.28,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,device_exposure,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,5218,0.28,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,overall,Number of records,NA,2014-01-01 to 2014-12-31,21804184,2.62,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,FALSE,Number of records,NA,2014-01-01 to 2014-12-31,17133,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,measurement,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,21787051,2.62,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,overall,Number of records,NA,2014-01-01 to 2014-12-31,1020200,1.65,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,FALSE,Number of records,NA,2014-01-01 to 2014-12-31,145283,0.24,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,observation,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,874917,1.42,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,overall,Number of records,NA,2014-01-01 to 2014-12-31,9029,6.38,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,FALSE,Number of records,NA,2014-01-01 to 2014-12-31,95,0.07,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,death,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,8934,6.32,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,overall,Number of records,NA,2014-01-01 to 2014-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,drug_era,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,NA,NA,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,overall,Number of records,NA,2014-01-01 to 2014-12-31,728505,4.78,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,FALSE,Number of records,NA,2014-01-01 to 2014-12-31,691,0,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,condition_era,TRUE,Number of records,NA,2014-01-01 to 2014-12-31,727814,4.78,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,overall,Number of records,NA,2015-01-01 to 2015-12-31,2423952,6.19,NA,years,NA,2026-02-16,2012-01-01,event
Barts Health,visit_occurrence,FALSE,Number of records,NA,2015-01-01 to 2015-12-31,4977,0.01,NA,years,NA,2026-02-16,2012-01-01,event
