cdm_name,omop_table,in_observation,variable_name,variable_level,time_interval,count,percentage,median,interval,name_observation_period,study_period_end,study_period_start,type
Barts Health,observation_period,overall,Age,NA,2018-01-01 to 2018-12-31,NA,NA,35,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2018-01-01 to 2018-12-31,308927897,8.41,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2019-01-01 to 2019-12-31,1262447,23.46,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2019-01-01 to 2019-12-31,1200756,34.8,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2019-01-01 to 2019-12-31,NA,NA,35,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2019-01-01 to 2019-12-31,316646125,8.62,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2020-01-01 to 2020-12-31,1165436,21.66,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2020-01-01 to 2020-12-31,1115225,32.32,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2020-01-01 to 2020-12-31,NA,NA,36,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2020-01-01 to 2020-12-31,296027574,8.06,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2021-01-01 to 2021-12-31,1129582,20.99,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2021-01-01 to 2021-12-31,1061701,30.77,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2021-01-01 to 2021-12-31,NA,NA,36,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2021-01-01 to 2021-12-31,260250916,7.08,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2022-01-01 to 2022-12-31,1206318,22.42,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2022-01-01 to 2022-12-31,1147615,33.26,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2022-01-01 to 2022-12-31,NA,NA,36,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2022-01-01 to 2022-12-31,304094187,8.27,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2023-01-01 to 2023-12-31,1264527,23.5,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2023-01-01 to 2023-12-31,1195063,34.64,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2023-01-01 to 2023-12-31,NA,NA,37,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2023-01-01 to 2023-12-31,302676203,8.24,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2024-01-01 to 2024-12-31,1244667,23.13,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2024-01-01 to 2024-12-31,1177738,34.13,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2024-01-01 to 2024-12-31,NA,NA,37,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2024-01-01 to 2024-12-31,304996898,8.3,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2025-01-01 to 2025-12-31,1244193,23.12,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2025-01-01 to 2025-12-31,1177169,34.12,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2025-01-01 to 2025-12-31,NA,NA,37,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2025-01-01 to 2025-12-31,304525328,8.29,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2026-01-01 to 2026-12-31,885598,16.46,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2026-01-01 to 2026-12-31,883681,25.61,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2026-01-01 to 2026-12-31,NA,NA,38,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2026-01-01 to 2026-12-31,39117264,1.06,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,overall,5380481,100,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,overall,3083049,89.35,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,overall,NA,NA,33,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,overall,NA,NA,NA,years,Persistence 365,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2012-01-01 to 2012-12-31,428136,10.2,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2012-01-01 to 2012-12-31,428136,12.41,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2012-01-01 to 2012-12-31,NA,NA,37,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2012-01-01 to 2012-12-31,62404755,2.44,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2013-01-01 to 2013-12-31,527288,12.57,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2013-01-01 to 2013-12-31,527288,15.28,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2013-01-01 to 2013-12-31,NA,NA,37,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2013-01-01 to 2013-12-31,116610294,4.56,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2014-01-01 to 2014-12-31,624565,14.88,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2014-01-01 to 2014-12-31,624565,18.1,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2014-01-01 to 2014-12-31,NA,NA,37,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2014-01-01 to 2014-12-31,144422255,5.65,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2015-01-01 to 2015-12-31,739239,17.62,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2015-01-01 to 2015-12-31,739239,21.42,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2015-01-01 to 2015-12-31,NA,NA,37,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2015-01-01 to 2015-12-31,173509508,6.79,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2016-01-01 to 2016-12-31,789175,18.81,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2016-01-01 to 2016-12-31,789175,22.87,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2016-01-01 to 2016-12-31,NA,NA,36,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2016-01-01 to 2016-12-31,198659928,7.77,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2017-01-01 to 2017-12-31,848703,20.23,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2017-01-01 to 2017-12-31,848703,24.6,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2017-01-01 to 2017-12-31,NA,NA,36,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2017-01-01 to 2017-12-31,213272021,8.34,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2018-01-01 to 2018-12-31,908964,21.66,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2018-01-01 to 2018-12-31,908964,26.34,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2018-01-01 to 2018-12-31,NA,NA,36,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2018-01-01 to 2018-12-31,224381117,8.78,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2019-01-01 to 2019-12-31,914109,21.78,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2019-01-01 to 2019-12-31,914109,26.49,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2019-01-01 to 2019-12-31,NA,NA,36,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2019-01-01 to 2019-12-31,218274020,8.54,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2020-01-01 to 2020-12-31,775915,18.49,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2020-01-01 to 2020-12-31,775915,22.49,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2020-01-01 to 2020-12-31,NA,NA,37,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2020-01-01 to 2020-12-31,198265665,7.75,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2021-01-01 to 2021-12-31,827513,19.72,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2021-01-01 to 2021-12-31,827513,23.98,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2021-01-01 to 2021-12-31,NA,NA,37,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2021-01-01 to 2021-12-31,199633106,7.81,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2022-01-01 to 2022-12-31,903039,21.52,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2022-01-01 to 2022-12-31,903039,26.17,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2022-01-01 to 2022-12-31,NA,NA,38,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2022-01-01 to 2022-12-31,211481533,8.27,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2023-01-01 to 2023-12-31,881337,21,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2023-01-01 to 2023-12-31,881337,25.54,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2023-01-01 to 2023-12-31,NA,NA,38,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2023-01-01 to 2023-12-31,212727194,8.32,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2024-01-01 to 2024-12-31,891773,21.25,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2024-01-01 to 2024-12-31,891773,25.85,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2024-01-01 to 2024-12-31,NA,NA,38,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2024-01-01 to 2024-12-31,212864346,8.33,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2025-01-01 to 2025-12-31,854186,20.36,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2025-01-01 to 2025-12-31,854186,24.76,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2025-01-01 to 2025-12-31,NA,NA,38,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2025-01-01 to 2025-12-31,163924218,6.41,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2026-01-01 to 2026-12-31,254568,6.07,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2026-01-01 to 2026-12-31,254568,7.38,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2026-01-01 to 2026-12-31,NA,NA,43,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2026-01-01 to 2026-12-31,6301085,0.25,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,overall,4196211,100,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,overall,3083049,89.35,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,overall,NA,NA,32,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,overall,NA,NA,NA,years,Collapse 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2012-01-01 to 2012-12-31,428136,10.2,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2012-01-01 to 2012-12-31,428136,12.41,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2012-01-01 to 2012-12-31,NA,NA,37,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2012-01-01 to 2012-12-31,88358010,1.78,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2013-01-01 to 2013-12-31,677036,16.13,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2013-01-01 to 2013-12-31,677036,19.62,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2013-01-01 to 2013-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2013-01-01 to 2013-12-31,201385770,4.05,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2014-01-01 to 2014-12-31,937232,22.34,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2014-01-01 to 2014-12-31,924869,26.8,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2014-01-01 to 2014-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2014-01-01 to 2014-12-31,265107457,5.33,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2015-01-01 to 2015-12-31,1091550,26.01,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2015-01-01 to 2015-12-31,1071577,31.06,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2015-01-01 to 2015-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2015-01-01 to 2015-12-31,309889935,6.23,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2016-01-01 to 2016-12-31,1194872,28.48,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2016-01-01 to 2016-12-31,1176622,34.1,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2016-01-01 to 2016-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2016-01-01 to 2016-12-31,354257864,7.13,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2017-01-01 to 2017-12-31,1283068,30.58,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2017-01-01 to 2017-12-31,1261300,36.56,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2017-01-01 to 2017-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2017-01-01 to 2017-12-31,373635337,7.51,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2018-01-01 to 2018-12-31,1363520,32.49,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2018-01-01 to 2018-12-31,1341786,38.89,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2018-01-01 to 2018-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2018-01-01 to 2018-12-31,401603824,8.08,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2019-01-01 to 2019-12-31,1437414,34.26,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2019-01-01 to 2019-12-31,1416848,41.06,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2019-01-01 to 2019-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2019-01-01 to 2019-12-31,428819005,8.62,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2020-01-01 to 2020-12-31,1401631,33.4,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2020-01-01 to 2020-12-31,1383609,40.1,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2020-01-01 to 2020-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2020-01-01 to 2020-12-31,422833592,8.5,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2021-01-01 to 2021-12-31,1400739,33.38,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2021-01-01 to 2021-12-31,1366275,39.6,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2021-01-01 to 2021-12-31,NA,NA,35,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2021-01-01 to 2021-12-31,389804269,7.84,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2022-01-01 to 2022-12-31,1381238,32.92,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2022-01-01 to 2022-12-31,1354777,39.26,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2022-01-01 to 2022-12-31,NA,NA,36,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2022-01-01 to 2022-12-31,398053754,8.01,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2023-01-01 to 2023-12-31,1439300,34.3,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2023-01-01 to 2023-12-31,1416887,41.06,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2023-01-01 to 2023-12-31,NA,NA,36,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2023-01-01 to 2023-12-31,427319989,8.59,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2024-01-01 to 2024-12-31,1490650,35.52,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2024-01-01 to 2024-12-31,1461899,42.37,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2024-01-01 to 2024-12-31,NA,NA,36,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2024-01-01 to 2024-12-31,429574896,8.64,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2025-01-01 to 2025-12-31,1463081,34.87,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2025-01-01 to 2025-12-31,1437171,41.65,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2025-01-01 to 2025-12-31,NA,NA,36,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2025-01-01 to 2025-12-31,426490761,8.58,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,2026-01-01 to 2026-12-31,1206315,28.75,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,2026-01-01 to 2026-12-31,1205766,34.95,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,2026-01-01 to 2026-12-31,NA,NA,37,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,2026-01-01 to 2026-12-31,54896471,1.1,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of records,NA,overall,4196211,100,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Number of subjects,NA,overall,3083049,89.35,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Age,NA,overall,NA,NA,32,years,Persistence 730,2026-02-16,2012-01-01,episode
Barts Health,observation_period,overall,Person-days,NA,overall,NA,NA,NA,years,Persistence 730,2026-02-16,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2012-01-01 to 2012-12-31,372747129,5.36,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2013-01-01 to 2013-12-31,393351383,5.66,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2014-01-01 to 2014-12-31,413831075,5.95,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2015-01-01 to 2015-12-31,433283749,6.23,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2016-01-01 to 2016-12-31,453537662,6.52,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2017-01-01 to 2017-12-31,470597062,6.77,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2018-01-01 to 2018-12-31,487965946,7.02,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2019-01-01 to 2019-12-31,505668862,7.27,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2020-01-01 to 2020-12-31,521204071,7.5,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2021-01-01 to 2021-12-31,533142412,7.67,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2022-01-01 to 2022-12-31,547632340,7.88,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2023-01-01 to 2023-12-31,561635775,8.08,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2024-01-01 to 2024-12-31,577248300,8.3,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2025-01-01 to 2025-12-31,587527784,8.45,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,2026-01-01 to 2026-12-31,93997696,1.35,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,observation_period,overall,Person-days,NA,overall,NA,100,NA,years,NA,2026-02-27,2012-01-01,episode
DataLoch Lothian,visit_occurrence,overall,Number of records,NA,2012-01-01 to 2012-12-31,1064415,6.21,NA,years,NA,2026-02-27,2012-01-01,event
DataLoch Lothian,visit_occurrence,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,1064415,6.21,NA,years,NA,2026-02-27,2012-01-01,event
DataLoch Lothian,condition_occurrence,overall,Number of records,NA,2012-01-01 to 2012-12-31,244465,7.75,NA,years,NA,2026-02-27,2012-01-01,event
DataLoch Lothian,condition_occurrence,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,244465,7.75,NA,years,NA,2026-02-27,2012-01-01,event
DataLoch Lothian,drug_exposure,overall,Number of records,NA,2012-01-01 to 2012-12-31,9744177,5.59,NA,years,NA,2026-02-27,2012-01-01,event
DataLoch Lothian,drug_exposure,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,9744177,5.59,NA,years,NA,2026-02-27,2012-01-01,event
DataLoch Lothian,procedure_occurrence,overall,Number of records,NA,2012-01-01 to 2012-12-31,225917,7.59,NA,years,NA,2026-02-27,2012-01-01,event
DataLoch Lothian,procedure_occurrence,TRUE,Number of records,NA,2012-01-01 to 2012-12-31,225917,7.59,NA,years,NA,2026-02-27,2012-01-01,event
